wavenumber_cm1,absorbance
380.0000,0.011375
381.0000,0.011505
382.0000,0.011654
383.0000,0.011825
384.0000,0.012016
385.0000,0.012227
386.0000,0.012485
387.0000,0.012752
388.0000,0.013005
389.0000,0.013275
390.0000,0.013576
391.0000,0.013917
392.0000,0.014298
393.0000,0.014710
394.0000,0.015145
395.0000,0.015587
396.0000,0.016029
397.0000,0.016471
398.0000,0.016900
399.0000,0.017320
400.0000,0.017742
401.0000,0.018186
402.0000,0.018636
403.0000,0.019053
404.0000,0.019399
405.0000,0.019873
406.0000,0.020729
407.0000,0.022056
408.0000,0.023884
409.0000,0.026208
410.0000,0.028965
411.0000,0.032040
412.0000,0.035297
413.0000,0.038548
414.0000,0.041676
415.0000,0.044834
416.0000,0.048115
417.0000,0.051584
418.0000,0.055229
419.0000,0.058733
420.0000,0.061735
421.0000,0.064487
422.0000,0.066519
423.0000,0.067795
424.0000,0.068407
425.0000,0.069542
426.0000,0.069487
427.0000,0.067068
428.0000,0.060322
429.0000,0.050325
430.0000,0.038446
431.0000,0.026460
432.0000,0.015326
433.0000,0.006457
434.0000,0.001157
435.0000,0.000258
436.0000,0.001274
437.0000,0.002844
438.0000,0.003443
439.0000,0.004428
440.0000,0.005904
441.0000,0.007309
442.0000,0.009155
443.0000,0.011787
444.0000,0.016310
445.0000,0.023302
446.0000,0.033077
447.0000,0.045558
448.0000,0.060830
449.0000,0.078861
450.0000,0.097321
451.0000,0.114518
452.0000,0.128456
453.0000,0.137485
454.0000,0.140459
455.0000,0.138186
456.0000,0.132212
457.0000,0.124365
458.0000,0.117371
459.0000,0.113225
460.0000,0.112140
461.0000,0.114845
462.0000,0.119786
463.0000,0.125868
464.0000,0.131683
465.0000,0.137586
466.0000,0.143388
467.0000,0.148955
468.0000,0.154658
469.0000,0.160417
470.0000,0.166350
471.0000,0.172192
472.0000,0.177553
473.0000,0.182047
474.0000,0.185461
475.0000,0.187735
476.0000,0.188899
477.0000,0.189185
478.0000,0.189015
479.0000,0.188604
480.0000,0.188084
481.0000,0.187820
482.0000,0.187929
483.0000,0.188373
484.0000,0.189340
485.0000,0.191189
486.0000,0.194282
487.0000,0.198065
488.0000,0.202388
489.0000,0.206412
490.0000,0.209524
491.0000,0.211618
492.0000,0.212374
493.0000,0.211777
494.0000,0.210439
495.0000,0.208927
496.0000,0.207774
497.0000,0.206918
498.0000,0.206842
499.0000,0.207263
500.0000,0.208285
501.0000,0.209769
502.0000,0.211742
503.0000,0.213971
504.0000,0.216213
505.0000,0.218190
506.0000,0.221376
507.0000,0.223340
508.0000,0.222339
509.0000,0.217339
510.0000,0.207714
511.0000,0.193730
512.0000,0.176623
513.0000,0.157573
514.0000,0.137996
515.0000,0.119632
516.0000,0.104610
517.0000,0.091074
518.0000,0.079094
519.0000,0.068515
520.0000,0.059039
521.0000,0.050666
522.0000,0.043781
523.0000,0.038070
524.0000,0.033220
525.0000,0.028974
526.0000,0.025366
527.0000,0.022292
528.0000,0.019828
529.0000,0.017865
530.0000,0.016301
531.0000,0.014912
532.0000,0.013640
533.0000,0.012351
534.0000,0.011166
535.0000,0.010131
536.0000,0.009193
537.0000,0.008349
538.0000,0.007643
539.0000,0.007089
540.0000,0.006649
541.0000,0.006293
542.0000,0.005953
543.0000,0.005678
544.0000,0.005455
545.0000,0.005267
546.0000,0.005085
547.0000,0.004947
548.0000,0.004844
549.0000,0.004794
550.0000,0.004786
551.0000,0.004810
552.0000,0.004840
553.0000,0.004900
554.0000,0.004994
555.0000,0.005195
556.0000,0.005182
557.0000,0.005145
558.0000,0.005029
559.0000,0.004829
560.0000,0.004540
561.0000,0.004144
562.0000,0.003719
563.0000,0.003362
564.0000,0.003137
565.0000,0.003051
566.0000,0.002898
567.0000,0.002941
568.0000,0.003048
569.0000,0.003202
570.0000,0.003367
571.0000,0.003517
572.0000,0.003662
573.0000,0.003830
574.0000,0.004043
575.0000,0.004315
576.0000,0.004640
577.0000,0.005057
578.0000,0.005570
579.0000,0.006156
580.0000,0.006858
581.0000,0.007677
582.0000,0.008578
583.0000,0.009656
584.0000,0.010964
585.0000,0.012572
586.0000,0.014407
587.0000,0.016636
588.0000,0.018967
589.0000,0.020715
590.0000,0.022586
591.0000,0.026708
592.0000,0.034797
