peak_position_cm1,peak_height,peak_quality,peak_prominence,is_labeled
1749.58,1.000000,strong,0.000000,1
1099.52,0.633637,strong,0.000000,1
1423.59,0.385035,strong,0.000000,1
738.80,0.337350,strong,0.000000,1
3587.90,0.291290,strong,0.000000,1
721.44,0.277620,strong,0.000000,1
2363.00,0.265595,strong,0.000000,1
3499.17,0.220839,strong,0.000000,1
2326.35,0.204326,strong,0.000000,1
694.43,0.179231,strong,0.000000,1
1558.61,0.129127,strong,0.000000,1
1286.63,0.121587,strong,0.000000,1
1358.00,0.111105,moderate,0.000000,1
1219.11,0.096976,weak,0.000000,1
