wavenumber_cm1,absorbance
549.7590,0.233554
551.6880,0.229289
553.6170,0.223453
555.5459,0.216044
557.4749,0.207062
559.4039,0.196509
561.3329,0.182242
563.2619,0.167892
565.1908,0.152819
567.1198,0.137500
569.0490,0.122865
570.9780,0.108174
572.9070,0.096629
574.8359,0.087404
576.7649,0.077792
578.6939,0.067844
580.6229,0.058691
582.5519,0.050722
584.4808,0.042090
586.4098,0.034008
588.3390,0.029399
590.2680,0.025582
592.1970,0.022460
594.1259,0.019685
596.0549,0.015697
597.9839,0.010665
599.9129,0.007002
601.8419,0.005128
603.7708,0.003437
605.6998,0.002925
607.6280,0.004656
609.5570,0.007956
611.4860,0.011085
613.4149,0.012813
615.3439,0.012853
617.2729,0.011510
619.2019,0.010899
621.1309,0.009703
623.0598,0.006850
624.9888,0.004875
626.9180,0.003997
628.8470,0.004744
630.7760,0.006185
632.7049,0.007589
634.6339,0.008455
636.5629,0.007926
638.4919,0.007440
640.4209,0.006877
642.3498,0.006366
644.2788,0.006579
646.2080,0.006136
648.1370,0.005610
650.0660,0.006801
651.9949,0.008826
653.9239,0.010756
655.8529,0.008979
657.7819,0.000000
659.7109,0.004730
661.6398,0.026154
663.5688,0.046802
665.4980,0.063849
667.4270,0.077124
669.3560,0.088623
671.2849,0.097711
673.2139,0.102379
675.1429,0.101672
677.0719,0.098232
679.0009,0.108578
680.9298,0.128829
682.8588,0.143939
684.7870,0.154476
686.7160,0.161684
688.6450,0.168826
690.5739,0.174960
692.5029,0.178521
694.4319,0.179231
696.3609,0.173845
698.2899,0.161787
700.2188,0.149559
702.1478,0.136220
704.0770,0.120474
706.0060,0.105819
707.9350,0.096396
709.8639,0.092919
711.7929,0.103991
713.7219,0.141752
715.6509,0.192056
717.5799,0.235575
719.5088,0.265365
721.4378,0.277620
723.3670,0.271923
725.2960,0.250454
727.2250,0.230540
729.1539,0.231919
731.0829,0.255172
733.0119,0.291994
734.9409,0.322674
736.8699,0.337197
738.7988,0.337350
740.7278,0.322975
742.6570,0.297675
744.5860,0.269265
746.5150,0.252890
748.4439,0.256095
750.3729,0.262754
752.3019,0.260163
754.2309,0.249279
