peak_position_cm1,peak_height,peak_quality,peak_prominence,is_labeled
1684.00,1.000000,strong,0.000000,1
706.00,0.944956,strong,0.000000,1
1291.00,0.700132,strong,0.000000,1
1324.00,0.579585,strong,0.000000,1
1421.00,0.366011,strong,0.000000,1
1451.00,0.349098,strong,0.000000,1
664.00,0.309916,strong,0.000000,1
932.00,0.290103,strong,0.000000,1
1580.00,0.154266,strong,0.000000,1
681.00,0.153217,moderate,0.000000,1
3076.00,0.127782,strong,0.000000,1
1182.00,0.125259,strong,0.000000,1
1599.00,0.119425,moderate,0.000000,1
1023.00,0.115541,moderate,0.000000,1
552.00,0.114595,moderate,0.000000,1
1125.00,0.107129,moderate,0.000000,1
1069.00,0.100474,moderate,0.000000,1
805.00,0.094556,weak,0.000000,1
2832.00,0.094314,weak,0.000000,1
2553.00,0.092254,weak,0.000000,1
2672.00,0.072957,weak,0.000000,1
