peak_position_cm1,peak_height,annotation_text,category,hover_text
1290.00,1.000000,1290,other,<b>1290 cm⁻¹</b><br>Band: aryl_ether<br>Category: other
1290.00,0.999941,1290,other,<b>1290 cm⁻¹</b><br>Band: aryl_ether<br>Category: other
1500.00,0.819426,1500,other,<b>1500 cm⁻¹</b><br>Band: aromatic<br>Category: other
1500.00,0.757165,1500,other,<b>1500 cm⁻¹</b><br>Band: aromatic<br>Category: other
1280.00,0.736877,1280,other,<b>1280 cm⁻¹</b><br>Band: ester<br>Category: other
2000.00,0.688418,2000,other,<b>2000 cm⁻¹</b><br>Local peak (no strong band match)
2170.00,0.678024,2170,other,<b>2170 cm⁻¹</b><br>Band: alkyne<br>Category: other
1970.00,0.678024,1970,other,<b>1970 cm⁻¹</b><br>Local peak (no strong band match)
1280.00,0.667798,1280,other,<b>1280 cm⁻¹</b><br>Band: ester<br>Category: other
1180.00,0.646840,1180,c_o,<b>1180 cm⁻¹</b><br>Band: ester<br>Category: c_o
2050.00,0.646840,2050,other,<b>2050 cm⁻¹</b><br>Local peak (no strong band match)
2050.00,0.646840,2050,other,<b>2050 cm⁻¹</b><br>Local peak (no strong band match)
2110.00,0.646840,2110,other,<b>2110 cm⁻¹</b><br>Band: alkyne<br>Category: other
2220.00,0.646840,2220,other,<b>2220 cm⁻¹</b><br>Band: nitrile<br>Category: other
2250.00,0.646840,2250,other,<b>2250 cm⁻¹</b><br>Band: nitrile<br>Category: other
1930.00,0.646840,1930,other,<b>1930 cm⁻¹</b><br>Local peak (no strong band match)
404.00,0.641549,404,other,<b>404 cm⁻¹</b><br>Local peak (no strong band match)
409.00,0.641549,409,other,<b>409 cm⁻¹</b><br>Local peak (no strong band match)
449.00,0.641549,449,other,<b>449 cm⁻¹</b><br>Local peak (no strong band match)
452.00,0.641549,452,other,<b>452 cm⁻¹</b><br>Local peak (no strong band match)
540.00,0.641549,540,other,<b>540 cm⁻¹</b><br>Local peak (no strong band match)
572.00,0.641549,572,other,<b>572 cm⁻¹</b><br>Local peak (no strong band match)
1180.00,0.636445,1180,c_o,<b>1180 cm⁻¹</b><br>Band: ester<br>Category: c_o
2120.00,0.628139,2120,other,<b>2120 cm⁻¹</b><br>Band: alkyne<br>Category: other
842.00,0.627205,842,other,<b>842 cm⁻¹</b><br>Local peak (no strong band match)
815.00,0.616811,815,other,<b>815 cm⁻¹</b><br>Local peak (no strong band match)
2190.00,0.616811,2190,nitrile,<b>2190 cm⁻¹</b><br>Band: nitrile<br>Category: nitrile
2170.00,0.596022,2170,other,<b>2170 cm⁻¹</b><br>Band: alkyne<br>Category: other
490.00,0.593518,490,other,<b>490 cm⁻¹</b><br>Local peak (no strong band match)
492.00,0.593518,492,other,<b>492 cm⁻¹</b><br>Local peak (no strong band match)
1990.00,0.591402,1990,other,<b>1990 cm⁻¹</b><br>Local peak (no strong band match)
1500.00,0.568306,1500,other,<b>1500 cm⁻¹</b><br>Band: aromatic<br>Category: other
426.00,0.561498,426,other,<b>426 cm⁻¹</b><br>Local peak (no strong band match)
2210.00,0.537119,2210,other,<b>2210 cm⁻¹</b><br>Band: nitrile<br>Category: other
1500.00,0.523432,1500,other,<b>1500 cm⁻¹</b><br>Band: aromatic<br>Category: other
2090.00,0.505935,2090,other,<b>2090 cm⁻¹</b><br>Band: alkyne<br>Category: other
2110.00,0.505935,2110,other,<b>2110 cm⁻¹</b><br>Band: alkyne<br>Category: other
2040.00,0.505935,2040,other,<b>2040 cm⁻¹</b><br>Local peak (no strong band match)
1170.00,0.505935,1170,c_o,<b>1170 cm⁻¹</b><br>Band: ester<br>Category: c_o
