wavenumber_cm1,absorbance
400.0000,0.205133
401.0000,0.194405
401.0000,0.185945
402.0000,0.179753
402.0000,0.175830
403.0000,0.174175
403.0000,0.175509
404.0000,0.180713
404.0000,0.185890
404.0000,0.193653
405.0000,0.196029
405.0000,0.198055
406.0000,0.196106
406.0000,0.190719
407.0000,0.181734
407.0000,0.172378
408.0000,0.162757
408.0000,0.158279
409.0000,0.151626
409.0000,0.150371
410.0000,0.143594
410.0000,0.142239
411.0000,0.134709
411.0000,0.126402
412.0000,0.114370
412.0000,0.103559
413.0000,0.093418
413.0000,0.087701
414.0000,0.078207
414.0000,0.076094
415.0000,0.067675
415.0000,0.065038
416.0000,0.054526
416.0000,0.046315
417.0000,0.033419
417.0000,0.023848
418.0000,0.013936
418.0000,0.009259
418.0000,0.006044
419.0000,0.011907
419.0000,0.018684
420.0000,0.033624
420.0000,0.049172
421.0000,0.066962
421.0000,0.083435
422.0000,0.099022
422.0000,0.110139
423.0000,0.119885
423.0000,0.125455
424.0000,0.127921
424.0000,0.125803
425.0000,0.120559
425.0000,0.113223
426.0000,0.103636
426.0000,0.095006
427.0000,0.087436
427.0000,0.081034
428.0000,0.079000
428.0000,0.079715
429.0000,0.082254
429.0000,0.084473
430.0000,0.086110
430.0000,0.090687
431.0000,0.093356
431.0000,0.097881
431.0000,0.102248
432.0000,0.107548
432.0000,0.112948
433.0000,0.121701
433.0000,0.128143
434.0000,0.136220
434.0000,0.142406
435.0000,0.151148
435.0000,0.157486
436.0000,0.165337
436.0000,0.172424
437.0000,0.176711
437.0000,0.181482
438.0000,0.183081
438.0000,0.182464
439.0000,0.177753
439.0000,0.168779
440.0000,0.159731
440.0000,0.150021
441.0000,0.140979
441.0000,0.132022
442.0000,0.127315
442.0000,0.126708
443.0000,0.127344
443.0000,0.134253
444.0000,0.138265
444.0000,0.146983
445.0000,0.154081
445.0000,0.160675
445.0000,0.163813
446.0000,0.162964
446.0000,0.162431
447.0000,0.158839
447.0000,0.155566
448.0000,0.151230
448.0000,0.146362
449.0000,0.143918
449.0000,0.142269
450.0000,0.140756
450.0000,0.137754
451.0000,0.134753
451.0000,0.132284
452.0000,0.130878
452.0000,0.127692
453.0000,0.127044
453.0000,0.125851
454.0000,0.127463
454.0000,0.128803
455.0000,0.130833
455.0000,0.132111
456.0000,0.130715
456.0000,0.129994
457.0000,0.131563
457.0000,0.134596
458.0000,0.140685
458.0000,0.145926
458.0000,0.152861
459.0000,0.157614
459.0000,0.163723
460.0000,0.165132
460.0000,0.162267
461.0000,0.159452
461.0000,0.157201
462.0000,0.154815
462.0000,0.151599
463.0000,0.149990
463.0000,0.150942
464.0000,0.152312
464.0000,0.154366
465.0000,0.154928
465.0000,0.155911
466.0000,0.155170
466.0000,0.153930
467.0000,0.152188
467.0000,0.147145
468.0000,0.141092
468.0000,0.132493
469.0000,0.120804
469.0000,0.109538
470.0000,0.097165
470.0000,0.087716
471.0000,0.080380
471.0000,0.077444
472.0000,0.076838
472.0000,0.078898
472.0000,0.080235
473.0000,0.081812
473.0000,0.085288
474.0000,0.088229
474.0000,0.088204
475.0000,0.088337
475.0000,0.087669
476.0000,0.086198
476.0000,0.083924
477.0000,0.083282
477.0000,0.080180
478.0000,0.080180
478.0000,0.081355
479.0000,0.084406
479.0000,0.085661
480.0000,0.089193
480.0000,0.092266
481.0000,0.099392
481.0000,0.106090
482.0000,0.114430
482.0000,0.121861
483.0000,0.127574
483.0000,0.129102
484.0000,0.132452
484.0000,0.129342
485.0000,0.125344
485.0000,0.118796
485.0000,0.113889
486.0000,0.109221
486.0000,0.108472
487.0000,0.108767
487.0000,0.107934
488.0000,0.109113
488.0000,0.115432
489.0000,0.118894
489.0000,0.122116
490.0000,0.123632
490.0000,0.122234
491.0000,0.119441
491.0000,0.112921
492.0000,0.103733
492.0000,0.093904
493.0000,0.084761
493.0000,0.076934
494.0000,0.069605
494.0000,0.066028
495.0000,0.061975
495.0000,0.060457
496.0000,0.058652
496.0000,0.055887
497.0000,0.053659
497.0000,0.052506
498.0000,0.050521
498.0000,0.048937
499.0000,0.048025
499.0000,0.048052
499.0000,0.046844
500.0000,0.047810
500.0000,0.047810
501.0000,0.047810
501.0000,0.046844
502.0000,0.047086
502.0000,0.048267
503.0000,0.049151
503.0000,0.051647
504.0000,0.055217
504.0000,0.059325
505.0000,0.063432
505.0000,0.067004
506.0000,0.070464
506.0000,0.071111
507.0000,0.071117
507.0000,0.068547
508.0000,0.065578
508.0000,0.063414
509.0000,0.062297
509.0000,0.062196
510.0000,0.067916
510.0000,0.076187
