peak_position_cm1,peak_height,annotation_text,category,hover_text
436.00,1.000000,436,other,<b>436 cm⁻¹</b><br>Local peak (no strong band match)
1790.00,0.654279,1790,other,<b>1790 cm⁻¹</b><br>Band: ester<br>Category: other
1970.00,0.654279,1970,other,<b>1970 cm⁻¹</b><br>Local peak (no strong band match)
550.00,0.593761,550,other,<b>550 cm⁻¹</b><br>Local peak (no strong band match)
3640.00,0.593761,3640,hydroxy,<b>3640 cm⁻¹</b><br>Band: alcohol<br>Category: hydroxy
2340.00,0.592619,2340,other,<b>2340 cm⁻¹</b><br>Local peak (no strong band match)
483.00,0.583484,483,other,<b>483 cm⁻¹</b><br>Local peak (no strong band match)
755.00,0.583484,755,other,<b>755 cm⁻¹</b><br>Local peak (no strong band match)
2170.00,0.583484,2170,other,<b>2170 cm⁻¹</b><br>Band: alkyne<br>Category: other
1870.00,0.572066,1870,other,<b>1870 cm⁻¹</b><br>Local peak (no strong band match)
