wavenumber_cm1,absorbance
400.0000,0.499404
401.0000,0.566561
401.0000,0.609976
402.0000,0.629649
402.0000,0.625578
403.0000,0.597766
403.0000,0.548019
404.0000,0.470008
404.0000,0.375038
404.0000,0.274415
405.0000,0.179444
405.0000,0.101433
406.0000,0.051687
406.0000,0.041512
407.0000,0.082213
407.0000,0.041512
408.0000,0.051687
408.0000,0.101433
409.0000,0.179444
409.0000,0.274415
410.0000,0.375038
410.0000,0.470008
411.0000,0.548019
411.0000,0.597766
412.0000,0.607941
412.0000,0.567240
413.0000,0.567240
413.0000,0.567240
414.0000,0.567240
414.0000,0.567240
415.0000,0.567240
415.0000,0.567240
416.0000,0.567240
416.0000,0.567240
417.0000,0.567240
417.0000,0.567240
418.0000,0.567240
418.0000,0.567240
418.0000,0.567240
419.0000,0.567240
419.0000,0.567240
420.0000,0.567240
420.0000,0.567240
421.0000,0.567240
421.0000,0.567240
422.0000,0.567240
422.0000,0.567240
423.0000,0.567240
423.0000,0.567240
424.0000,0.567240
424.0000,0.567240
425.0000,0.567240
425.0000,0.567240
426.0000,0.567240
426.0000,0.567240
427.0000,0.567240
427.0000,0.567240
428.0000,0.567240
428.0000,0.567240
429.0000,0.567240
429.0000,0.567240
430.0000,0.567240
430.0000,0.567240
431.0000,0.567240
431.0000,0.567240
431.0000,0.567240
432.0000,0.567240
432.0000,0.526133
433.0000,0.577516
433.0000,0.576374
434.0000,0.615197
434.0000,0.682566
435.0000,0.767063
435.0000,0.898376
436.0000,0.931489
436.0000,1.000000
437.0000,1.000000
437.0000,0.931489
438.0000,0.898376
438.0000,0.767063
439.0000,0.682566
439.0000,0.615197
440.0000,0.576374
440.0000,0.577516
441.0000,0.526133
441.0000,0.567240
442.0000,0.567240
442.0000,0.567240
443.0000,0.567240
443.0000,0.567240
444.0000,0.607941
444.0000,0.597766
445.0000,0.548019
445.0000,0.470008
445.0000,0.375038
446.0000,0.274415
446.0000,0.179444
447.0000,0.101433
447.0000,0.051687
448.0000,0.041512
448.0000,0.082213
449.0000,0.082213
449.0000,0.082213
450.0000,0.082213
450.0000,0.082213
451.0000,0.082213
451.0000,0.082213
452.0000,0.082213
452.0000,0.082213
453.0000,0.082213
453.0000,0.082213
454.0000,0.082213
454.0000,0.082213
455.0000,0.082213
455.0000,0.082213
456.0000,0.082213
456.0000,0.082213
457.0000,0.082213
457.0000,0.082213
458.0000,0.082213
458.0000,0.082213
458.0000,0.082213
459.0000,0.082213
459.0000,0.082213
460.0000,0.082213
460.0000,0.082213
461.0000,0.082213
461.0000,0.082213
462.0000,0.082213
462.0000,0.082213
463.0000,0.082213
463.0000,0.082213
464.0000,0.082213
464.0000,0.082213
465.0000,0.082213
465.0000,0.082213
466.0000,0.082213
466.0000,0.082213
467.0000,0.082213
467.0000,0.082213
468.0000,0.082213
468.0000,0.082213
469.0000,0.082213
469.0000,0.082213
470.0000,0.082213
470.0000,0.082213
471.0000,0.082213
471.0000,0.082213
472.0000,0.082213
472.0000,0.082213
472.0000,0.082213
473.0000,0.082213
473.0000,0.082213
474.0000,0.082213
474.0000,0.082213
475.0000,0.082213
475.0000,0.082213
476.0000,0.082213
476.0000,0.082213
477.0000,0.082213
477.0000,0.082213
478.0000,0.082213
478.0000,0.082213
479.0000,0.082213
479.0000,0.041107
480.0000,0.051383
480.0000,0.101624
481.0000,0.180412
481.0000,0.276327
482.0000,0.377952
482.0000,0.514973
483.0000,0.583484
483.0000,0.583484
484.0000,0.514973
484.0000,0.377952
485.0000,0.276327
485.0000,0.180412
485.0000,0.101624
486.0000,0.051383
486.0000,0.041107
487.0000,0.082213
487.0000,0.082213
488.0000,0.082213
488.0000,0.082213
489.0000,0.082213
489.0000,0.082213
490.0000,0.082213
490.0000,0.082213
491.0000,0.082213
491.0000,0.082213
492.0000,0.082213
492.0000,0.082213
493.0000,0.082213
493.0000,0.082213
494.0000,0.082213
494.0000,0.082213
495.0000,0.082213
495.0000,0.082213
496.0000,0.082213
496.0000,0.082213
497.0000,0.082213
497.0000,0.082213
498.0000,0.041107
498.0000,0.092490
499.0000,0.132454
499.0000,0.161001
499.0000,0.178128
500.0000,0.183838
500.0000,0.178128
501.0000,0.161001
501.0000,0.132454
502.0000,0.092490
502.0000,0.041107
503.0000,0.082213
503.0000,0.082213
504.0000,0.082213
504.0000,0.082213
505.0000,0.082213
505.0000,0.082213
506.0000,0.082213
506.0000,0.082213
507.0000,0.082213
507.0000,0.082213
508.0000,0.082213
508.0000,0.082213
509.0000,0.082213
509.0000,0.041107
510.0000,0.092490
510.0000,0.132454
511.0000,0.161001
511.0000,0.137022
512.0000,0.194114
512.0000,0.228370
512.0000,0.239788
513.0000,0.228370
513.0000,0.194114
514.0000,0.137022
514.0000,0.161001
515.0000,0.132454
515.0000,0.092490
516.0000,0.041107
516.0000,0.082213
517.0000,0.082213
517.0000,0.082213
518.0000,0.082213
518.0000,0.082213
519.0000,0.082213
519.0000,0.082213
520.0000,0.082213
520.0000,0.082213
521.0000,0.082213
521.0000,0.082213
522.0000,0.082213
522.0000,0.082213
523.0000,0.082213
523.0000,0.082213
524.0000,0.082213
524.0000,0.082213
525.0000,0.082213
525.0000,0.082213
526.0000,0.082213
526.0000,0.082213
526.0000,0.082213
527.0000,0.082213
527.0000,0.082213
528.0000,0.082213
528.0000,0.082213
529.0000,0.082213
529.0000,0.082213
530.0000,0.082213
530.0000,0.082213
531.0000,0.082213
531.0000,0.082213
532.0000,0.082213
532.0000,0.082213
533.0000,0.082213
533.0000,0.082213
534.0000,0.082213
534.0000,0.082213
535.0000,0.082213
535.0000,0.082213
536.0000,0.082213
536.0000,0.082213
537.0000,0.082213
537.0000,0.082213
538.0000,0.082213
538.0000,0.082213
539.0000,0.082213
539.0000,0.082213
539.0000,0.082213
540.0000,0.082213
540.0000,0.082213
541.0000,0.082213
541.0000,0.082213
542.0000,0.082213
542.0000,0.082213
543.0000,0.082213
543.0000,0.082213
544.0000,0.082213
544.0000,0.082213
545.0000,0.082213
545.0000,0.041107
546.0000,0.092490
546.0000,0.091348
547.0000,0.130171
547.0000,0.197540
548.0000,0.282036
548.0000,0.372242
549.0000,0.456739
549.0000,0.565215
550.0000,0.593761
550.0000,0.542378
551.0000,0.514973
551.0000,0.377952
552.0000,0.276327
552.0000,0.180412
553.0000,0.101624
553.0000,0.051383
553.0000,0.041107
554.0000,0.082213
554.0000,0.082213
555.0000,0.082213
555.0000,0.082213
556.0000,0.082213
556.0000,0.082213
557.0000,0.082213
557.0000,0.082213
558.0000,0.082213
558.0000,0.082213
559.0000,0.082213
559.0000,0.082213
560.0000,0.082213
560.0000,0.082213
561.0000,0.082213
561.0000,0.082213
562.0000,0.082213
562.0000,0.041107
563.0000,0.051383
563.0000,0.101624
564.0000,0.180412
564.0000,0.317434
565.0000,0.408782
565.0000,0.454455
566.0000,0.454455
566.0000,0.408782
566.0000,0.317434
567.0000,0.180412
567.0000,0.101624
568.0000,0.051383
568.0000,0.041107
569.0000,0.082213
569.0000,0.082213
570.0000,0.082213
570.0000,0.082213
571.0000,0.082213
571.0000,0.082213
572.0000,0.082213
572.0000,0.082213
573.0000,0.082213
573.0000,0.082213
574.0000,0.082213
574.0000,0.082213
575.0000,0.082213
575.0000,0.082213
576.0000,0.082213
576.0000,0.082213
577.0000,0.082213
577.0000,0.082213
578.0000,0.082213
578.0000,0.082213
579.0000,0.082213
579.0000,0.082213
580.0000,0.082213
580.0000,0.082213
580.0000,0.082213
581.0000,0.082213
581.0000,0.082213
582.0000,0.082213
582.0000,0.082213
583.0000,0.082213
583.0000,0.082213
584.0000,0.082213
584.0000,0.082213
585.0000,0.082213
585.0000,0.082213
586.0000,0.082213
586.0000,0.082213
587.0000,0.082213
587.0000,0.041107
588.0000,0.092490
588.0000,0.091348
589.0000,0.130171
589.0000,0.197540
590.0000,0.282036
590.0000,0.372242
591.0000,0.456739
591.0000,0.524108
592.0000,0.562931
592.0000,0.561789
593.0000,0.613172
593.0000,0.572066
593.0000,0.572066
594.0000,0.572066
594.0000,0.572066
595.0000,0.572066
595.0000,0.572066
596.0000,0.572066
596.0000,0.572066
597.0000,0.572066
597.0000,0.572066
598.0000,0.572066
598.0000,0.572066
599.0000,0.613172
599.0000,0.602896
600.0000,0.552654
600.0000,0.473867
601.0000,0.377952
601.0000,0.276327
602.0000,0.180412
602.0000,0.101624
603.0000,0.051383
603.0000,0.041107
604.0000,0.082213
604.0000,0.082213
605.0000,0.082213
605.0000,0.082213
606.0000,0.082213
606.0000,0.082213
607.0000,0.082213
607.0000,0.082213
607.0000,0.082213
608.0000,0.082213
608.0000,0.082213
609.0000,0.082213
609.0000,0.082213
610.0000,0.082213
610.0000,0.082213
611.0000,0.082213
611.0000,0.082213
612.0000,0.082213
612.0000,0.082213
613.0000,0.082213
613.0000,0.082213
614.0000,0.082213
614.0000,0.082213
615.0000,0.082213
615.0000,0.082213
616.0000,0.082213
616.0000,0.082213
617.0000,0.082213
617.0000,0.082213
618.0000,0.082213
618.0000,0.082213
619.0000,0.082213
619.0000,0.082213
620.0000,0.082213
620.0000,0.082213
620.0000,0.082213
