peak_position_cm1,peak_height,peak_quality,peak_prominence,is_labeled
433.90,1.000000,strong,0.000000,1
409.32,0.953329,strong,0.000000,1
402.09,0.939113,strong,0.000000,1
1084.28,0.704897,strong,0.000000,1
858.65,0.533091,strong,0.000000,1
882.76,0.521359,strong,0.000000,1
1043.78,0.512789,strong,0.000000,1
1028.36,0.394196,strong,0.000000,1
1323.41,0.336507,strong,0.000000,1
608.43,0.244123,strong,0.000000,1
688.46,0.234029,strong,0.000000,1
1477.21,0.228608,strong,0.000000,1
573.72,0.223521,strong,0.000000,1
1249.65,0.206058,strong,0.000000,1
1664.75,0.173363,strong,0.000000,1
499.47,0.159672,strong,0.000000,1
1425.14,0.152096,strong,0.000000,1
1538.92,0.149408,strong,0.000000,1
756.92,0.147659,strong,0.000000,1
633.50,0.140068,moderate,0.000000,1
1565.43,0.138431,strong,0.000000,1
3221.50,0.135079,strong,0.000000,1
777.65,0.130794,moderate,0.000000,1
804.65,0.125732,strong,0.000000,1
970.50,0.123894,strong,0.000000,1
989.30,0.113161,moderate,0.000000,1
2868.11,0.092771,weak,0.000000,1
2949.11,0.087377,weak,0.000000,1
917.95,0.080382,weak,0.000000,1
438.73,0.070807,weak,0.000000,1
1164.79,0.068229,weak,0.000000,1
1375.48,0.059126,weak,0.000000,1
3310.21,0.056067,weak,0.000000,1
