assignment_label,key_bands_cm1,confidence_status,ontology_category,score,notes
Alkene,,Supported,specific_fg,0.9000,
Carbonyl Region,,Supported,local_motif,0.9000,
Carbonyl-containing,,Supported,fallback,0.9000,
Unsaturation,,Supported,fallback,0.9000,
Heterocyclic N O Region,,Supported,local_motif,0.8750,
Pyrrole N Oxide Like,,Supported,local_motif,0.8750,
N Oxide Confounded Region,,Supported,local_motif,0.8750,
C O Fingerprint Region,,Supported,local_motif,0.7950,
C–O-containing,,Supported,fallback,0.7950,
Enamine Region,,Supported,local_motif,0.7640,
Aromatic Cc Region,,Supported,local_motif,0.6781,
Aromatic system,,Supported,fallback,0.6781,
