wavenumber_cm1,absorbance
453.0000,0.013112
454.0000,0.012504
455.0000,0.011901
456.0000,0.011303
457.0000,0.010710
458.0000,0.010122
459.0000,0.009530
460.0000,0.008957
461.0000,0.008378
462.0000,0.007807
463.0000,0.007250
464.0000,0.006713
465.0000,0.006175
466.0000,0.005680
467.0000,0.005239
468.0000,0.004872
469.0000,0.004566
470.0000,0.004312
471.0000,0.004101
472.0000,0.003910
473.0000,0.003745
474.0000,0.003586
475.0000,0.003434
476.0000,0.003317
477.0000,0.003250
478.0000,0.003172
479.0000,0.003139
480.0000,0.003140
481.0000,0.003166
482.0000,0.002751
483.0000,0.002661
484.0000,0.003231
485.0000,0.004430
486.0000,0.006150
487.0000,0.008275
488.0000,0.010575
489.0000,0.012893
490.0000,0.014990
491.0000,0.016586
492.0000,0.017395
493.0000,0.018243
494.0000,0.019117
495.0000,0.019926
496.0000,0.020708
497.0000,0.021476
498.0000,0.022173
499.0000,0.022833
500.0000,0.023495
501.0000,0.024145
502.0000,0.024796
503.0000,0.025445
504.0000,0.026079
505.0000,0.026746
506.0000,0.027431
507.0000,0.028096
508.0000,0.028711
509.0000,0.029321
510.0000,0.029922
511.0000,0.030508
512.0000,0.031121
513.0000,0.031793
514.0000,0.032521
515.0000,0.033330
516.0000,0.034202
517.0000,0.035154
518.0000,0.036166
519.0000,0.037224
520.0000,0.038317
521.0000,0.039417
522.0000,0.040508
523.0000,0.041612
524.0000,0.042697
525.0000,0.043793
526.0000,0.044900
527.0000,0.046026
528.0000,0.047175
529.0000,0.048329
530.0000,0.049451
531.0000,0.050629
532.0000,0.051906
533.0000,0.053318
534.0000,0.054908
535.0000,0.056808
536.0000,0.059124
537.0000,0.061863
538.0000,0.064946
539.0000,0.068255
540.0000,0.071566
541.0000,0.074746
542.0000,0.077906
543.0000,0.081144
544.0000,0.084671
545.0000,0.088644
546.0000,0.093105
547.0000,0.098011
548.0000,0.103113
549.0000,0.107701
550.0000,0.111292
551.0000,0.113581
552.0000,0.114595
553.0000,0.114537
554.0000,0.113274
555.0000,0.111127
556.0000,0.107788
557.0000,0.099471
558.0000,0.087221
559.0000,0.072282
560.0000,0.056563
561.0000,0.041725
562.0000,0.029203
563.0000,0.020261
564.0000,0.015320
565.0000,0.014360
566.0000,0.015425
567.0000,0.014774
568.0000,0.014046
569.0000,0.013297
570.0000,0.012617
571.0000,0.011979
572.0000,0.011359
573.0000,0.010804
574.0000,0.010295
575.0000,0.009808
576.0000,0.009349
577.0000,0.008923
578.0000,0.008526
579.0000,0.008159
580.0000,0.007784
581.0000,0.007438
582.0000,0.007142
583.0000,0.006921
584.0000,0.006746
585.0000,0.006623
586.0000,0.006543
587.0000,0.006489
588.0000,0.006438
589.0000,0.006391
