assignment_label,key_bands_cm1,confidence_status,ontology_category,score,notes
Heterocyclic N O Region,,Supported,local_motif,0.9800,
Pyrrole N Oxide Like,,Supported,local_motif,0.9800,
N Oxide Confounded Region,,Supported,local_motif,0.9800,
Enamine Region,,Supported,local_motif,0.9467,
C O Fingerprint Region,,Supported,local_motif,0.9000,
C–O-containing,,Supported,fallback,0.9000,
Hydroxy-containing,,Supported,fallback,0.8069,
Aromatic Cc Region,,Supported,local_motif,0.7867,
Nitrogen-containing,,Supported,fallback,0.7867,
Aromatic system,,Supported,fallback,0.7867,
Broad Oh Nh Region,,Supported,local_motif,0.7269,
Alkene,,Supported,specific_fg,0.6266,
