wavenumber_cm1,absorbance
550.0000,0.058271
554.0000,0.048810
558.0000,0.040444
562.0000,0.033171
566.0000,0.026992
570.0000,0.021907
574.0000,0.017990
578.0000,0.015249
582.0000,0.013481
586.0000,0.012462
590.0000,0.010837
594.0000,0.008272
598.0000,0.005545
602.0000,0.003448
606.0000,0.001996
610.0000,0.001420
614.0000,0.001573
618.0000,0.001938
622.0000,0.002084
626.0000,0.002068
630.0000,0.001936
634.0000,0.001611
638.0000,0.001352
642.0000,0.001308
646.0000,0.001552
650.0000,0.002122
654.0000,0.002879
658.0000,0.003060
662.0000,0.002944
666.0000,0.003247
670.0000,0.003285
674.0000,0.003111
678.0000,0.003154
682.0000,0.004091
686.0000,0.005616
690.0000,0.007519
694.0000,0.010756
698.0000,0.016865
702.0000,0.030232
706.0000,0.054346
710.0000,0.085899
714.0000,0.120123
718.0000,0.164333
722.0000,0.242338
726.0000,0.338429
730.0000,0.416632
734.0000,0.471178
738.0000,0.505559
742.0000,0.518727
746.0000,0.506904
750.0000,0.466230
754.0000,0.401163
758.0000,0.337280
762.0000,0.297670
766.0000,0.259041
770.0000,0.203882
774.0000,0.149106
778.0000,0.104290
782.0000,0.068936
786.0000,0.042162
790.0000,0.022811
794.0000,0.009570
798.0000,0.004787
802.0000,0.005817
806.0000,0.008009
810.0000,0.010480
814.0000,0.013711
818.0000,0.018025
822.0000,0.023914
826.0000,0.031550
830.0000,0.041091
834.0000,0.053567
838.0000,0.068834
842.0000,0.083396
846.0000,0.095506
850.0000,0.105733
854.0000,0.112487
858.0000,0.113126
862.0000,0.106723
866.0000,0.094229
870.0000,0.078472
874.0000,0.062508
878.0000,0.047434
882.0000,0.033495
886.0000,0.022638
890.0000,0.016917
894.0000,0.016085
898.0000,0.018520
902.0000,0.022297
906.0000,0.025777
910.0000,0.028267
914.0000,0.029727
918.0000,0.029989
922.0000,0.028950
926.0000,0.026049
930.0000,0.021805
934.0000,0.018005
938.0000,0.015215
942.0000,0.012743
946.0000,0.010321
950.0000,0.008286
954.0000,0.006932
958.0000,0.006026
962.0000,0.005518
966.0000,0.004942
970.0000,0.004442
974.0000,0.004016
978.0000,0.003885
982.0000,0.004048
986.0000,0.004535
990.0000,0.005902
994.0000,0.008661
998.0000,0.013487
1002.0000,0.021012
1006.0000,0.030661
1010.0000,0.041602
1014.0000,0.052566
1018.0000,0.062386
1022.0000,0.069475
1026.0000,0.072621
1030.0000,0.071183
1034.0000,0.065630
1038.0000,0.057242
1042.0000,0.047938
1046.0000,0.039349
1050.0000,0.032387
1054.0000,0.028367
1058.0000,0.030474
1062.0000,0.044288
1066.0000,0.072269
1070.0000,0.110616
1074.0000,0.154578
1078.0000,0.199645
1082.0000,0.243120
1086.0000,0.278569
1090.0000,0.295723
1094.0000,0.289047
1098.0000,0.261821
1102.0000,0.223107
1106.0000,0.179727
1110.0000,0.135987
1114.0000,0.098094
1118.0000,0.074672
1122.0000,0.075067
1126.0000,0.099033
1130.0000,0.139251
1134.0000,0.190378
1138.0000,0.251705
1142.0000,0.322057
1146.0000,0.393509
1150.0000,0.455473
1154.0000,0.499702
1158.0000,0.524134
1162.0000,0.531241
1166.0000,0.522347
1170.0000,0.500651
1174.0000,0.472253
1178.0000,0.444766
1182.0000,0.423750
1186.0000,0.409367
1190.0000,0.398426
1194.0000,0.386625
1198.0000,0.371808
1202.0000,0.353041
1206.0000,0.330289
1210.0000,0.307242
1214.0000,0.290181
1218.0000,0.287525
