peak_position_cm1,peak_height,peak_quality,peak_prominence,is_labeled
1290.00,1.000000,strong,0.000000,1
1290.00,0.999941,strong,0.000000,1
1500.00,0.819426,strong,0.000000,1
1500.00,0.813893,strong,0.000000,1
1500.00,0.757165,strong,0.000000,1
1280.00,0.736877,strong,0.000000,1
1280.00,0.727698,strong,0.000000,1
1280.00,0.713342,strong,0.000000,1
1270.00,0.708933,strong,0.000000,1
2000.00,0.688418,strong,0.000000,1
2170.00,0.678024,strong,0.000000,1
1970.00,0.678024,strong,0.000000,1
1280.00,0.667798,strong,0.000000,1
1180.00,0.646840,strong,0.000000,1
1240.00,0.646840,strong,0.000000,1
2020.00,0.646840,strong,0.000000,1
2020.00,0.646840,strong,0.000000,1
2050.00,0.646840,strong,0.000000,1
2050.00,0.646840,strong,0.000000,1
2050.00,0.646840,strong,0.000000,1
2090.00,0.646840,strong,0.000000,1
2110.00,0.646840,strong,0.000000,1
2140.00,0.646840,strong,0.000000,1
2220.00,0.646840,strong,0.000000,1
2250.00,0.646840,strong,0.000000,1
1930.00,0.646840,strong,0.000000,1
1960.00,0.646840,strong,0.000000,1
2000.00,0.646840,strong,0.000000,1
1260.00,0.646840,strong,0.000000,1
404.00,0.641549,strong,0.000000,1
409.00,0.641549,strong,0.000000,1
449.00,0.641549,strong,0.000000,1
452.00,0.641549,strong,0.000000,1
540.00,0.641549,strong,0.000000,1
572.00,0.641549,strong,0.000000,1
2090.00,0.636445,strong,0.000000,1
2250.00,0.636445,strong,0.000000,1
2050.00,0.636445,strong,0.000000,1
1260.00,0.636445,strong,0.000000,1
1970.00,0.636445,strong,0.000000,1
1240.00,0.636445,strong,0.000000,1
2220.00,0.636445,strong,0.000000,1
1180.00,0.636445,strong,0.000000,1
1280.00,0.630592,strong,0.000000,1
2120.00,0.628139,strong,0.000000,1
842.00,0.627205,strong,0.000000,1
815.00,0.616811,strong,0.000000,1
833.00,0.616811,strong,0.000000,1
2190.00,0.616811,strong,0.000000,1
2190.00,0.616811,strong,0.000000,1
2250.00,0.605261,strong,0.000000,1
2090.00,0.605261,strong,0.000000,1
2110.00,0.605261,strong,0.000000,1
2110.00,0.605261,strong,0.000000,1
2250.00,0.605261,strong,0.000000,1
2250.00,0.605261,strong,0.000000,1
2070.00,0.605261,strong,0.000000,1
2170.00,0.596022,strong,0.000000,1
2050.00,0.594867,strong,0.000000,1
490.00,0.593518,strong,0.000000,1
492.00,0.593518,strong,0.000000,1
441.00,0.593518,strong,0.000000,1
443.00,0.593518,strong,0.000000,1
1990.00,0.591402,strong,0.000000,1
1500.00,0.568306,strong,0.000000,1
426.00,0.561498,strong,0.000000,1
483.00,0.561498,strong,0.000000,1
1970.00,0.556753,strong,0.000000,1
2000.00,0.554443,strong,0.000000,1
1970.00,0.549823,strong,0.000000,1
2190.00,0.547513,strong,0.000000,1
2190.00,0.547513,strong,0.000000,1
1990.00,0.546358,strong,0.000000,1
1990.00,0.545203,strong,0.000000,1
2210.00,0.537119,strong,0.000000,1
1500.00,0.523432,strong,0.000000,1
2090.00,0.505935,strong,0.000000,1
2110.00,0.505935,strong,0.000000,1
2040.00,0.505935,strong,0.000000,1
1170.00,0.505935,strong,0.000000,1
