wavenumber_cm1,absorbance
400.0000,0.000000
401.0000,0.092630
401.0000,0.179542
402.0000,0.260736
402.0000,0.336213
403.0000,0.405971
403.0000,0.502032
404.0000,0.580939
404.0000,0.631256
404.0000,0.641549
405.0000,0.600380
405.0000,0.600380
406.0000,0.600380
406.0000,0.600380
407.0000,0.600380
407.0000,0.600380
408.0000,0.600380
408.0000,0.600380
409.0000,0.600380
409.0000,0.641549
410.0000,0.631256
410.0000,0.580939
411.0000,0.502032
411.0000,0.405971
412.0000,0.304192
412.0000,0.208132
413.0000,0.129225
413.0000,0.078907
414.0000,0.068615
414.0000,0.109784
415.0000,0.109784
415.0000,0.109784
416.0000,0.109784
416.0000,0.109784
417.0000,0.109784
417.0000,0.109784
418.0000,0.109784
418.0000,0.109784
418.0000,0.109784
419.0000,0.109784
419.0000,0.109784
420.0000,0.109784
420.0000,0.109784
421.0000,0.109784
421.0000,0.109784
422.0000,0.109784
422.0000,0.068615
423.0000,0.078907
423.0000,0.129225
424.0000,0.208132
424.0000,0.304192
425.0000,0.447140
425.0000,0.532908
426.0000,0.561498
426.0000,0.532908
427.0000,0.447140
427.0000,0.304192
428.0000,0.208132
428.0000,0.129225
429.0000,0.078907
429.0000,0.068615
430.0000,0.109784
430.0000,0.109784
431.0000,0.109784
431.0000,0.109784
431.0000,0.109784
432.0000,0.109784
432.0000,0.109784
433.0000,0.109784
433.0000,0.109784
434.0000,0.109784
434.0000,0.109784
435.0000,0.109784
435.0000,0.109784
436.0000,0.109784
436.0000,0.109784
437.0000,0.109784
437.0000,0.068615
438.0000,0.120076
438.0000,0.118932
439.0000,0.157814
439.0000,0.225285
440.0000,0.309910
440.0000,0.400253
441.0000,0.484878
441.0000,0.593518
442.0000,0.580939
442.0000,0.580939
443.0000,0.593518
443.0000,0.484878
444.0000,0.400253
444.0000,0.309910
445.0000,0.225285
445.0000,0.116645
445.0000,0.088056
446.0000,0.139517
446.0000,0.166963
447.0000,0.304192
447.0000,0.405971
448.0000,0.502032
448.0000,0.580939
449.0000,0.631256
449.0000,0.641549
450.0000,0.600380
450.0000,0.600380
451.0000,0.600380
451.0000,0.600380
452.0000,0.600380
452.0000,0.641549
453.0000,0.590087
453.0000,0.591231
454.0000,0.552349
454.0000,0.484878
455.0000,0.400253
455.0000,0.309910
456.0000,0.225285
456.0000,0.157814
457.0000,0.118932
457.0000,0.120076
458.0000,0.068615
458.0000,0.109784
458.0000,0.109784
459.0000,0.109784
459.0000,0.109784
460.0000,0.109784
460.0000,0.109784
461.0000,0.109784
461.0000,0.109784
462.0000,0.109784
462.0000,0.109784
463.0000,0.109784
463.0000,0.109784
464.0000,0.109784
464.0000,0.109784
465.0000,0.109784
465.0000,0.109784
466.0000,0.109784
466.0000,0.109784
467.0000,0.109784
467.0000,0.109784
468.0000,0.109784
468.0000,0.109784
469.0000,0.109784
469.0000,0.109784
470.0000,0.109784
470.0000,0.109784
471.0000,0.109784
471.0000,0.109784
472.0000,0.109784
472.0000,0.109784
472.0000,0.109784
473.0000,0.109784
473.0000,0.109784
474.0000,0.109784
474.0000,0.109784
475.0000,0.109784
475.0000,0.109784
476.0000,0.109784
476.0000,0.109784
477.0000,0.109784
477.0000,0.109784
478.0000,0.109784
478.0000,0.109784
479.0000,0.109784
479.0000,0.068615
480.0000,0.078907
480.0000,0.129225
481.0000,0.208132
481.0000,0.304192
482.0000,0.447140
482.0000,0.532908
483.0000,0.561498
483.0000,0.532908
484.0000,0.447140
484.0000,0.304192
485.0000,0.208132
485.0000,0.129225
485.0000,0.078907
486.0000,0.068615
486.0000,0.068615
487.0000,0.120076
487.0000,0.118932
488.0000,0.157814
488.0000,0.225285
489.0000,0.309910
489.0000,0.400253
490.0000,0.484878
490.0000,0.593518
491.0000,0.580939
491.0000,0.580939
492.0000,0.593518
492.0000,0.484878
493.0000,0.400253
493.0000,0.309910
494.0000,0.225285
494.0000,0.157814
495.0000,0.118932
495.0000,0.120076
496.0000,0.068615
496.0000,0.109784
497.0000,0.109784
497.0000,0.109784
498.0000,0.109784
498.0000,0.109784
499.0000,0.109784
499.0000,0.109784
499.0000,0.109784
500.0000,0.109784
500.0000,0.109784
501.0000,0.109784
501.0000,0.109784
502.0000,0.109784
502.0000,0.109784
503.0000,0.109784
503.0000,0.109784
504.0000,0.109784
504.0000,0.109784
505.0000,0.109784
505.0000,0.109784
506.0000,0.109784
506.0000,0.109784
507.0000,0.109784
507.0000,0.109784
508.0000,0.109784
508.0000,0.109784
509.0000,0.109784
509.0000,0.109784
510.0000,0.109784
510.0000,0.109784
511.0000,0.109784
511.0000,0.109784
512.0000,0.109784
512.0000,0.109784
512.0000,0.109784
513.0000,0.109784
513.0000,0.109784
514.0000,0.109784
514.0000,0.109784
515.0000,0.109784
515.0000,0.109784
516.0000,0.109784
516.0000,0.109784
517.0000,0.109784
517.0000,0.109784
518.0000,0.109784
518.0000,0.109784
519.0000,0.109784
519.0000,0.109784
520.0000,0.109784
520.0000,0.109784
521.0000,0.109784
521.0000,0.109784
522.0000,0.109784
522.0000,0.109784
523.0000,0.109784
523.0000,0.109784
524.0000,0.109784
524.0000,0.109784
525.0000,0.109784
525.0000,0.109784
526.0000,0.109784
526.0000,0.109784
526.0000,0.109784
527.0000,0.109784
527.0000,0.109784
528.0000,0.109784
528.0000,0.068615
529.0000,0.078907
529.0000,0.129225
530.0000,0.208132
530.0000,0.345361
531.0000,0.436848
531.0000,0.482591
532.0000,0.482591
532.0000,0.436848
533.0000,0.345361
533.0000,0.208132
534.0000,0.129225
534.0000,0.078907
535.0000,0.068615
535.0000,0.109784
536.0000,0.068615
536.0000,0.078907
537.0000,0.129225
537.0000,0.208132
538.0000,0.304192
538.0000,0.405971
539.0000,0.502032
539.0000,0.580939
539.0000,0.631256
540.0000,0.641549
540.0000,0.600380
541.0000,0.600380
541.0000,0.600380
542.0000,0.600380
542.0000,0.600380
543.0000,0.600380
543.0000,0.600380
544.0000,0.600380
544.0000,0.600380
545.0000,0.600380
545.0000,0.600380
546.0000,0.600380
546.0000,0.600380
547.0000,0.600380
547.0000,0.600380
548.0000,0.600380
548.0000,0.600380
549.0000,0.600380
549.0000,0.600380
550.0000,0.600380
550.0000,0.600380
551.0000,0.600380
551.0000,0.600380
552.0000,0.600380
552.0000,0.600380
553.0000,0.600380
553.0000,0.600380
553.0000,0.600380
554.0000,0.600380
554.0000,0.600380
555.0000,0.600380
555.0000,0.600380
556.0000,0.600380
556.0000,0.600380
557.0000,0.600380
557.0000,0.600380
558.0000,0.600380
558.0000,0.600380
559.0000,0.600380
559.0000,0.600380
560.0000,0.600380
560.0000,0.600380
561.0000,0.600380
561.0000,0.600380
562.0000,0.600380
562.0000,0.600380
563.0000,0.600380
563.0000,0.600380
564.0000,0.600380
564.0000,0.600380
565.0000,0.600380
565.0000,0.600380
566.0000,0.600380
566.0000,0.600380
566.0000,0.600380
567.0000,0.600380
567.0000,0.600380
568.0000,0.600380
568.0000,0.600380
569.0000,0.600380
569.0000,0.600380
570.0000,0.600380
570.0000,0.600380
571.0000,0.600380
571.0000,0.600380
572.0000,0.641549
572.0000,0.631256
573.0000,0.580939
573.0000,0.502032
574.0000,0.405971
574.0000,0.304192
575.0000,0.208132
575.0000,0.129225
576.0000,0.078907
576.0000,0.068615
577.0000,0.109784
577.0000,0.109784
578.0000,0.109784
578.0000,0.109784
579.0000,0.109784
579.0000,0.109784
580.0000,0.109784
580.0000,0.109784
580.0000,0.109784
581.0000,0.109784
581.0000,0.109784
582.0000,0.109784
582.0000,0.109784
583.0000,0.109784
583.0000,0.109784
584.0000,0.109784
584.0000,0.109784
585.0000,0.109784
585.0000,0.109784
586.0000,0.109784
