peak_position_cm1,peak_height,peak_quality,peak_prominence,is_labeled
742.00,1.000000,strong,0.000000,1
3518.00,0.479197,strong,0.000000,1
3070.00,0.356015,strong,0.000000,1
814.00,0.301359,strong,0.000000,1
1338.00,0.258264,strong,0.000000,1
1458.00,0.258224,strong,0.000000,1
1406.00,0.209745,strong,0.000000,1
1274.00,0.197591,strong,0.000000,1
902.00,0.189982,strong,0.000000,1
1078.00,0.147992,strong,0.000000,1
602.00,0.121273,strong,0.000000,1
1566.00,0.101771,moderate,0.000000,1
1010.00,0.056513,weak,0.000000,1
1694.00,0.053257,weak,0.000000,1
