wavenumber_cm1,absorbance
450.0000,0.000000
454.0000,0.006596
458.0000,0.012585
462.0000,0.017967
466.0000,0.022742
470.0000,0.026909
474.0000,0.031900
478.0000,0.034738
482.0000,0.035520
486.0000,0.036108
490.0000,0.035620
494.0000,0.033215
498.0000,0.031161
502.0000,0.030163
506.0000,0.028881
510.0000,0.027253
514.0000,0.026567
518.0000,0.026533
522.0000,0.026593
526.0000,0.026344
530.0000,0.027034
534.0000,0.028385
538.0000,0.028705
542.0000,0.028857
546.0000,0.029058
550.0000,0.029157
554.0000,0.030613
558.0000,0.032847
562.0000,0.033841
566.0000,0.036316
570.0000,0.039862
574.0000,0.043495
578.0000,0.047586
582.0000,0.059874
586.0000,0.077300
590.0000,0.093498
594.0000,0.107879
598.0000,0.118185
602.0000,0.121273
606.0000,0.118466
610.0000,0.108661
614.0000,0.092396
618.0000,0.074637
622.0000,0.063703
626.0000,0.056151
630.0000,0.048549
634.0000,0.043927
638.0000,0.041643
642.0000,0.040101
646.0000,0.039637
650.0000,0.036045
654.0000,0.032505
658.0000,0.034412
662.0000,0.036081
666.0000,0.040521
670.0000,0.044231
674.0000,0.049130
678.0000,0.056244
682.0000,0.066911
686.0000,0.083770
690.0000,0.094282
694.0000,0.102734
698.0000,0.137221
702.0000,0.198348
706.0000,0.259792
710.0000,0.344734
714.0000,0.395979
718.0000,0.473931
722.0000,0.624019
726.0000,0.776881
730.0000,0.870077
734.0000,0.940241
738.0000,0.987926
742.0000,1.000000
746.0000,0.955361
750.0000,0.867626
754.0000,0.704430
758.0000,0.569686
762.0000,0.485241
766.0000,0.388100
770.0000,0.286132
774.0000,0.226103
778.0000,0.186801
782.0000,0.176208
786.0000,0.190461
790.0000,0.210451
794.0000,0.229571
798.0000,0.249981
802.0000,0.269486
806.0000,0.286585
810.0000,0.297592
814.0000,0.301359
818.0000,0.297498
822.0000,0.286640
826.0000,0.270149
830.0000,0.248581
834.0000,0.223027
838.0000,0.195446
842.0000,0.166414
846.0000,0.138431
850.0000,0.111174
854.0000,0.088824
858.0000,0.070368
862.0000,0.056301
866.0000,0.044973
870.0000,0.036286
874.0000,0.038705
878.0000,0.050413
882.0000,0.070108
886.0000,0.095616
890.0000,0.122090
894.0000,0.152325
898.0000,0.176914
902.0000,0.189982
906.0000,0.189176
910.0000,0.176731
914.0000,0.160418
918.0000,0.139722
922.0000,0.118149
926.0000,0.096680
930.0000,0.077744
934.0000,0.066010
938.0000,0.055100
942.0000,0.044957
946.0000,0.037617
950.0000,0.034080
954.0000,0.029866
958.0000,0.025653
962.0000,0.021652
966.0000,0.017567
970.0000,0.014073
974.0000,0.011867
978.0000,0.011337
982.0000,0.011815
986.0000,0.015914
990.0000,0.025039
994.0000,0.034347
998.0000,0.043581
1002.0000,0.050096
1006.0000,0.054670
1010.0000,0.056513
1014.0000,0.053408
1018.0000,0.045621
1022.0000,0.033768
1026.0000,0.022129
1030.0000,0.012820
1034.0000,0.006887
1038.0000,0.005632
1042.0000,0.010738
1046.0000,0.021932
1050.0000,0.037648
1054.0000,0.054813
1058.0000,0.077349
1062.0000,0.100945
1066.0000,0.118509
1070.0000,0.132043
1074.0000,0.142709
1078.0000,0.147992
1082.0000,0.147174
1086.0000,0.138513
1090.0000,0.123982
1094.0000,0.105369
1098.0000,0.089295
1102.0000,0.073505
1106.0000,0.056139
1110.0000,0.043599
1114.0000,0.037021
1118.0000,0.032670
1122.0000,0.030023
1126.0000,0.028755
1130.0000,0.027615
1134.0000,0.025707
1138.0000,0.024239
1142.0000,0.023351
1146.0000,0.021839
1150.0000,0.020003
1154.0000,0.019024
1158.0000,0.018783
1162.0000,0.018831
1166.0000,0.019056
1170.0000,0.019562
1174.0000,0.019998
1178.0000,0.021578
1182.0000,0.024592
1186.0000,0.026552
1190.0000,0.027303
1194.0000,0.029120
1198.0000,0.030466
1202.0000,0.029724
1206.0000,0.026593
1210.0000,0.022613
1214.0000,0.019575
1218.0000,0.020747
1222.0000,0.030293
1226.0000,0.039583
1230.0000,0.047058
1234.0000,0.059842
1238.0000,0.071205
1242.0000,0.076888
1246.0000,0.081343
1250.0000,0.090117
1254.0000,0.101654
1258.0000,0.121693
1262.0000,0.146140
1266.0000,0.171374
1270.0000,0.190876
1274.0000,0.197591
1278.0000,0.183057
1282.0000,0.149935
1286.0000,0.109488
1290.0000,0.069439
1294.0000,0.033232
1298.0000,0.011843
1302.0000,0.007544
1306.0000,0.027548
1310.0000,0.059296
1314.0000,0.092916
1318.0000,0.128154
1322.0000,0.167062
1326.0000,0.203138
1330.0000,0.234106
1334.0000,0.251430
1338.0000,0.258264
1342.0000,0.253849
1346.0000,0.236016
1350.0000,0.203650
1354.0000,0.161720
1358.0000,0.117369
1362.0000,0.077946
1366.0000,0.044737
1370.0000,0.020609
1374.0000,0.006776
1378.0000,0.009931
1382.0000,0.028829
1386.0000,0.059086
1390.0000,0.095035
1394.0000,0.135357
1398.0000,0.171313
1402.0000,0.197903
1406.0000,0.209745
1410.0000,0.202369
1414.0000,0.181074
1418.0000,0.150708
1422.0000,0.117887
1426.0000,0.091981
1430.0000,0.081216
1434.0000,0.093280
1438.0000,0.119394
1442.0000,0.155009
1446.0000,0.195327
1450.0000,0.233559
1454.0000,0.257328
1458.0000,0.258224
1462.0000,0.238060
1466.0000,0.207684
1470.0000,0.173573
1474.0000,0.141300
1478.0000,0.109923
1482.0000,0.085536
