peak_position_cm1,peak_height,peak_quality,peak_prominence,is_labeled
1630.00,1.000000,strong,0.000000,1
1630.00,0.993142,strong,0.000000,1
1630.00,0.979441,strong,0.000000,1
1630.00,0.962584,strong,0.000000,1
1640.00,0.960785,strong,0.000000,1
1630.00,0.946699,strong,0.000000,1
1640.00,0.925311,strong,0.000000,1
1640.00,0.909371,strong,0.000000,1
1640.00,0.887121,strong,0.000000,1
1620.00,0.754821,strong,0.000000,1
1620.00,0.734421,strong,0.000000,1
1530.00,0.722406,strong,0.000000,1
1530.00,0.709186,strong,0.000000,1
1650.00,0.707036,strong,0.000000,1
1620.00,0.700734,strong,0.000000,1
1530.00,0.700067,strong,0.000000,1
1530.00,0.696795,strong,0.000000,1
1650.00,0.673900,strong,0.000000,1
1650.00,0.652170,strong,0.000000,1
1540.00,0.651508,strong,0.000000,1
1620.00,0.651391,strong,0.000000,1
1540.00,0.641722,strong,0.000000,1
1620.00,0.635425,strong,0.000000,1
1540.00,0.632205,strong,0.000000,1
1530.00,0.620947,strong,0.000000,1
1650.00,0.617896,strong,0.000000,1
1540.00,0.592665,strong,0.000000,1
1520.00,0.582640,strong,0.000000,1
1520.00,0.574826,strong,0.000000,1
1520.00,0.567418,strong,0.000000,1
1520.00,0.516390,strong,0.000000,1
1660.00,0.450182,strong,0.000000,1
1550.00,0.446982,strong,0.000000,1
1550.00,0.441024,strong,0.000000,1
1550.00,0.435777,strong,0.000000,1
1550.00,0.435761,strong,0.000000,1
1660.00,0.430300,strong,0.000000,1
1610.00,0.415296,strong,0.000000,1
1550.00,0.412092,strong,0.000000,1
577.00,0.400082,strong,0.000000,1
3300.00,0.377487,strong,0.000000,1
3300.00,0.376762,strong,0.000000,1
1660.00,0.376453,strong,0.000000,1
3300.00,0.374895,strong,0.000000,1
1660.00,0.367168,strong,0.000000,1
1660.00,0.362325,strong,0.000000,1
3300.00,0.358385,strong,0.000000,1
2930.00,0.358019,strong,0.000000,1
1610.00,0.357834,strong,0.000000,1
1510.00,0.355738,strong,0.000000,1
2930.00,0.355220,strong,0.000000,1
1610.00,0.353030,strong,0.000000,1
2930.00,0.348498,strong,0.000000,1
3310.00,0.348365,strong,0.000000,1
1610.00,0.345250,strong,0.000000,1
3310.00,0.344998,strong,0.000000,1
2940.00,0.343125,strong,0.000000,1
1610.00,0.341826,strong,0.000000,1
2940.00,0.336785,strong,0.000000,1
2940.00,0.333544,strong,0.000000,1
3290.00,0.332081,strong,0.000000,1
1510.00,0.328368,strong,0.000000,1
1510.00,0.314202,strong,0.000000,1
3290.00,0.307990,strong,0.000000,1
1510.00,0.305926,strong,0.000000,1
3290.00,0.303552,strong,0.000000,1
1560.00,0.301652,strong,0.000000,1
1270.00,0.291286,strong,0.000000,1
1560.00,0.289176,strong,0.000000,1
1270.00,0.285549,strong,0.000000,1
3290.00,0.280455,strong,0.000000,1
1270.00,0.275611,strong,0.000000,1
3320.00,0.259882,strong,0.000000,1
1560.00,0.253623,strong,0.000000,1
2950.00,0.253459,strong,0.000000,1
3320.00,0.248095,strong,0.000000,1
684.00,0.246924,strong,0.000000,1
727.00,0.240570,strong,0.000000,1
1280.00,0.237518,strong,0.000000,1
1280.00,0.235470,strong,0.000000,1
