peak_position_cm1,peak_height,peak_quality,peak_prominence,is_labeled
436.00,1.000000,strong,0.000000,1
1790.00,0.654279,strong,0.000000,1
1970.00,0.654279,strong,0.000000,1
3660.00,0.654279,strong,0.000000,1
3670.00,0.654279,strong,0.000000,1
1150.00,0.654279,strong,0.000000,1
1250.00,0.644002,strong,0.000000,1
1100.00,0.644002,strong,0.000000,1
1100.00,0.644002,strong,0.000000,1
3620.00,0.644002,strong,0.000000,1
3620.00,0.644002,strong,0.000000,1
1790.00,0.644002,strong,0.000000,1
1790.00,0.644002,strong,0.000000,1
1250.00,0.633726,strong,0.000000,1
1360.00,0.613172,strong,0.000000,1
1360.00,0.613172,strong,0.000000,1
1380.00,0.613172,strong,0.000000,1
1410.00,0.613172,strong,0.000000,1
1430.00,0.613172,strong,0.000000,1
1430.00,0.613172,strong,0.000000,1
1520.00,0.613172,strong,0.000000,1
1520.00,0.613172,strong,0.000000,1
1530.00,0.613172,strong,0.000000,1
1560.00,0.613172,strong,0.000000,1
1620.00,0.613172,strong,0.000000,1
1650.00,0.613172,strong,0.000000,1
1660.00,0.613172,strong,0.000000,1
1680.00,0.613172,strong,0.000000,1
1690.00,0.613172,strong,0.000000,1
1690.00,0.613172,strong,0.000000,1
593.00,0.613172,strong,0.000000,1
599.00,0.613172,strong,0.000000,1
639.00,0.613172,strong,0.000000,1
672.00,0.613172,strong,0.000000,1
1040.00,0.613172,strong,0.000000,1
1040.00,0.613172,strong,0.000000,1
1170.00,0.613172,strong,0.000000,1
1180.00,0.613172,strong,0.000000,1
1180.00,0.613172,strong,0.000000,1
1180.00,0.613172,strong,0.000000,1
1300.00,0.613172,strong,0.000000,1
1310.00,0.613172,strong,0.000000,1
1870.00,0.613172,strong,0.000000,1
2120.00,0.613172,strong,0.000000,1
2150.00,0.613172,strong,0.000000,1
3680.00,0.613172,strong,0.000000,1
3680.00,0.613172,strong,0.000000,1
1900.00,0.613172,strong,0.000000,1
1910.00,0.613172,strong,0.000000,1
3630.00,0.613172,strong,0.000000,1
3630.00,0.613172,strong,0.000000,1
1710.00,0.613172,strong,0.000000,1
1740.00,0.613172,strong,0.000000,1
1740.00,0.613172,strong,0.000000,1
1770.00,0.613172,strong,0.000000,1
3650.00,0.613172,strong,0.000000,1
3650.00,0.613172,strong,0.000000,1
1230.00,0.613172,strong,0.000000,1
1240.00,0.613172,strong,0.000000,1
1830.00,0.613172,strong,0.000000,1
1310.00,0.602896,strong,0.000000,1
2340.00,0.602896,strong,0.000000,1
2340.00,0.602896,strong,0.000000,1
1620.00,0.602896,strong,0.000000,1
1970.00,0.602896,strong,0.000000,1
3660.00,0.602896,strong,0.000000,1
1370.00,0.602896,strong,0.000000,1
3630.00,0.602896,strong,0.000000,1
1790.00,0.602896,strong,0.000000,1
1560.00,0.602896,strong,0.000000,1
1780.00,0.602896,strong,0.000000,1
1650.00,0.602896,strong,0.000000,1
3680.00,0.602896,strong,0.000000,1
550.00,0.593761,strong,0.000000,1
3640.00,0.593761,strong,0.000000,1
2340.00,0.592619,strong,0.000000,1
483.00,0.583484,strong,0.000000,1
755.00,0.583484,strong,0.000000,1
2170.00,0.583484,strong,0.000000,1
1870.00,0.572066,strong,0.000000,1
