wavenumber_cm1,absorbance
450.0000,0.383479
454.0000,0.438680
458.0000,0.487903
462.0000,0.531150
466.0000,0.568420
470.0000,0.599712
474.0000,0.649260
478.0000,0.674415
482.0000,0.661683
486.0000,0.618668
490.0000,0.558747
494.0000,0.504399
498.0000,0.467843
502.0000,0.388996
506.0000,0.301905
510.0000,0.241229
514.0000,0.203910
518.0000,0.159237
522.0000,0.109206
526.0000,0.071031
530.0000,0.044299
534.0000,0.028031
538.0000,0.020070
542.0000,0.015759
546.0000,0.014943
550.0000,0.016912
554.0000,0.016024
558.0000,0.015207
562.0000,0.013573
566.0000,0.012941
570.0000,0.011764
574.0000,0.012824
578.0000,0.013494
582.0000,0.013947
586.0000,0.016735
590.0000,0.017846
594.0000,0.014942
598.0000,0.014256
602.0000,0.012063
606.0000,0.009319
610.0000,0.007715
614.0000,0.007492
618.0000,0.005844
622.0000,0.004963
626.0000,0.005638
630.0000,0.004771
634.0000,0.003335
638.0000,0.002527
642.0000,0.002268
646.0000,0.001648
650.0000,0.001715
654.0000,0.003945
658.0000,0.008747
662.0000,0.018806
666.0000,0.038690
670.0000,0.074538
674.0000,0.133824
678.0000,0.223806
682.0000,0.343803
686.0000,0.481821
690.0000,0.616364
694.0000,0.714095
698.0000,0.694908
702.0000,0.654543
706.0000,0.811958
710.0000,0.921046
714.0000,0.953243
718.0000,0.952837
722.0000,0.957658
726.0000,0.982557
730.0000,1.000000
734.0000,0.966540
738.0000,0.851729
742.0000,0.800065
746.0000,0.881487
750.0000,0.796638
754.0000,0.626099
758.0000,0.436301
762.0000,0.269103
766.0000,0.148450
770.0000,0.070737
774.0000,0.028564
778.0000,0.009069
782.0000,0.003702
786.0000,0.003099
790.0000,0.003758
794.0000,0.005127
798.0000,0.006344
802.0000,0.007296
806.0000,0.005196
810.0000,0.007369
814.0000,0.009210
818.0000,0.010040
822.0000,0.010430
826.0000,0.010715
830.0000,0.011382
834.0000,0.013186
838.0000,0.015215
842.0000,0.019104
846.0000,0.025598
850.0000,0.039478
854.0000,0.051150
858.0000,0.059928
862.0000,0.066875
866.0000,0.072586
870.0000,0.075570
874.0000,0.075490
878.0000,0.072398
882.0000,0.067891
886.0000,0.062383
890.0000,0.055539
894.0000,0.046741
898.0000,0.036617
902.0000,0.028010
906.0000,0.022645
910.0000,0.020303
914.0000,0.021431
918.0000,0.027733
922.0000,0.040644
926.0000,0.061423
930.0000,0.090605
934.0000,0.127840
938.0000,0.170811
942.0000,0.215311
946.0000,0.263488
950.0000,0.309549
954.0000,0.351179
958.0000,0.388142
962.0000,0.420831
966.0000,0.447643
970.0000,0.465115
974.0000,0.472428
978.0000,0.474585
982.0000,0.477638
986.0000,0.486100
990.0000,0.488933
994.0000,0.478410
998.0000,0.453116
1002.0000,0.425021
1006.0000,0.388856
1010.0000,0.351789
1014.0000,0.326596
1018.0000,0.320115
1022.0000,0.332251
1026.0000,0.350683
1030.0000,0.367683
1034.0000,0.365388
1038.0000,0.345925
1042.0000,0.322269
1046.0000,0.298054
1050.0000,0.285999
1054.0000,0.286061
1058.0000,0.289639
1062.0000,0.284681
1066.0000,0.266509
1070.0000,0.241181
1074.0000,0.204019
1078.0000,0.163093
1082.0000,0.126062
1086.0000,0.099471
1090.0000,0.082214
1094.0000,0.069587
1098.0000,0.059067
1102.0000,0.045335
1106.0000,0.031910
1110.0000,0.022367
1114.0000,0.018133
1118.0000,0.018148
1122.0000,0.020515
1126.0000,0.022603
1130.0000,0.024394
1134.0000,0.025319
1138.0000,0.025598
1142.0000,0.025490
1146.0000,0.025105
1150.0000,0.024288
1154.0000,0.022702
1158.0000,0.020581
1162.0000,0.017939
1166.0000,0.014296
1170.0000,0.010887
1174.0000,0.007158
1178.0000,0.003936
1182.0000,0.001881
1186.0000,0.000763
1190.0000,0.000226
1194.0000,0.000131
1198.0000,0.000339
