assignment_label,key_bands_cm1,confidence_status,ontology_category,score,notes
C O Fingerprint Region,,Supported,local_motif,0.7967,
C–O-containing,,Supported,fallback,0.7967,
Enamine Region,,Supported,local_motif,0.7900,
Heterocyclic N O Region,,Supported,local_motif,0.7478,
N Oxide Confounded Region,,Supported,local_motif,0.7478,
Hydroxy-containing,,Supported,fallback,0.6773,
Aromatic Cc Region,,Supported,local_motif,0.6300,
Nitrogen-containing,,Supported,fallback,0.6300,
Aromatic system,,Supported,fallback,0.6300,
Alkene,,Supported,specific_fg,0.6107,
Carbonyl Region,,Supported,local_motif,0.6107,
Carbonyl-containing,,Supported,fallback,0.6107,
