wavenumber_cm1,absorbance
399.6747,0.355926
400.1569,0.530512
400.6390,0.676123
401.1211,0.792761
401.6032,0.880424
402.0853,0.939113
402.5674,0.874313
403.0496,0.881125
403.5317,0.888427
404.0138,0.895857
404.4959,0.903213
404.9780,0.910483
405.4601,0.917753
405.9423,0.925045
406.4244,0.932215
406.9065,0.938885
407.3886,0.944551
407.8707,0.948780
408.3528,0.951512
408.8350,0.952893
409.3171,0.953329
409.7992,0.953289
410.2813,0.953147
410.7634,0.953114
411.2455,0.953178
411.7277,0.953086
412.2098,0.952737
412.6919,0.952085
413.1740,0.951262
413.6561,0.950314
414.1382,0.949315
414.6204,0.948239
415.1025,0.946960
415.5846,0.945300
416.0667,0.943089
416.5488,0.940506
417.0309,0.937988
417.5131,0.935836
417.9952,0.934285
418.4773,0.933431
418.9594,0.933219
419.4415,0.933380
419.9236,0.933813
420.4058,0.934327
420.8879,0.934876
421.3700,0.935654
421.8521,0.936645
422.3342,0.937745
422.8163,0.938822
423.2985,0.939711
423.7806,0.940238
424.2627,0.940330
424.7448,0.940161
425.2269,0.939722
425.7090,0.939004
426.1912,0.937925
426.6733,0.936303
427.1554,0.934090
427.6375,0.931361
428.1196,0.928292
428.6017,0.925051
429.0839,0.921910
429.5660,0.919037
430.0481,0.916523
430.5302,0.914451
431.0123,0.912937
431.4944,0.912233
431.9766,0.912670
432.4587,0.914564
432.9408,0.918040
433.4229,0.922889
433.9050,1.000000
434.3871,0.988547
434.8693,0.906998
435.3514,0.774457
435.8335,0.610324
436.3156,0.434235
436.7977,0.265989
437.2798,0.125479
437.7620,0.032683
438.2441,0.007698
438.7262,0.070807
439.2083,0.061784
439.6904,0.052216
440.1725,0.043403
440.6547,0.036295
441.1368,0.031435
441.6189,0.028968
442.1010,0.028620
442.5831,0.030092
443.0652,0.032678
443.5474,0.035748
444.0295,0.038554
444.5116,0.041206
444.9937,0.043764
445.4758,0.046143
445.9579,0.048204
446.4401,0.049914
446.9222,0.051319
447.4043,0.052549
447.8864,0.053561
448.3685,0.054530
448.8506,0.055547
449.3328,0.056558
449.8149,0.057404
450.2970,0.057889
450.7791,0.057861
451.2612,0.057304
451.7433,0.056275
452.2255,0.054857
452.7076,0.053251
453.1897,0.051608
453.6718,0.050074
454.1539,0.048688
454.6360,0.047480
455.1182,0.046481
455.6003,0.045709
456.0824,0.045075
456.5645,0.044637
457.0466,0.044374
457.5287,0.044165
458.0109,0.044055
458.4930,0.044083
458.9751,0.044324
459.4572,0.044872
459.9393,0.045763
460.4214,0.046944
460.9036,0.048261
461.3857,0.049602
461.8678,0.050813
462.3499,0.051789
462.8320,0.052680
463.3141,0.053544
463.7963,0.054510
464.2784,0.055680
464.7605,0.057042
465.2426,0.058581
465.7247,0.060281
466.2068,0.062292
466.6890,0.064740
467.1711,0.067604
467.6532,0.070640
468.1353,0.073414
468.6174,0.075264
469.0995,0.075891
469.5817,0.075711
470.0638,0.075205
470.5459,0.074957
471.0280,0.075630
471.5101,0.077616
471.9922,0.080978
472.4744,0.085386
472.9565,0.090268
473.4386,0.094977
473.9207,0.099413
474.4028,0.103957
474.8849,0.108655
475.3671,0.113652
475.8492,0.118838
476.3313,0.124023
476.8134,0.128862
477.2955,0.133086
477.7776,0.136541
478.2598,0.139143
478.7419,0.140798
479.2240,0.141593
479.7061,0.141892
480.1882,0.142118
480.6703,0.142371
481.1525,0.142748
481.6346,0.143190
482.1167,0.143760
482.5988,0.144512
483.0809,0.145313
483.5630,0.145998
484.0452,0.146458
484.5273,0.146826
485.0094,0.147121
485.4915,0.147329
485.9736,0.147484
486.4557,0.147610
486.9379,0.147793
487.4200,0.148169
487.9021,0.148750
488.3842,0.149563
488.8663,0.150519
489.3484,0.151552
489.8306,0.152572
490.3127,0.153611
490.7948,0.154564
491.2769,0.155469
491.7590,0.156228
492.2411,0.156857
492.7233,0.157321
493.2054,0.157706
493.6875,0.158159
494.1696,0.158599
494.6517,0.158975
495.1339,0.159354
495.6160,0.159563
496.0981,0.159591
496.5802,0.159502
497.0623,0.159304
497.5444,0.159090
498.0266,0.159035
498.5087,0.159250
498.9908,0.159522
499.4729,0.159672
499.9550,0.159582
500.4371,0.159052
500.9193,0.158123
501.4014,0.157031
501.8835,0.155854
502.3656,0.154774
502.8477,0.153876
503.3299,0.153219
503.8120,0.152653
504.2941,0.151976
504.7762,0.151090
505.2583,0.149974
505.7404,0.148474
506.2226,0.146602
506.7047,0.144764
507.1868,0.143294
507.6689,0.142495
508.1510,0.142409
508.6331,0.142860
509.1153,0.143745
509.5974,0.144863
510.0795,0.145931
510.5616,0.146504
511.0437,0.146449
511.5258,0.145996
512.0079,0.145235
512.4901,0.144255
512.9722,0.142953
513.4543,0.141320
513.9364,0.139432
514.4185,0.137304
514.9006,0.135045
515.3828,0.132567
515.8649,0.129781
516.3470,0.126980
516.8291,0.124066
517.3112,0.120947
517.7933,0.117550
518.2755,0.113834
518.7576,0.109778
519.2397,0.105446
519.7218,0.100884
520.2039,0.096026
520.6860,0.090892
521.1682,0.085742
521.6503,0.080483
522.1324,0.075052
522.6145,0.069348
523.0966,0.063337
523.5787,0.056931
524.0609,0.050209
524.5430,0.043374
525.0251,0.036697
525.5072,0.030333
525.9893,0.024597
526.4714,0.019779
526.9536,0.015951
527.4357,0.013078
527.9178,0.011061
528.3999,0.009667
528.8821,0.008769
529.3641,0.008241
529.8463,0.007948
530.3284,0.007718
530.8105,0.007537
531.2926,0.007411
531.7748,0.007364
532.2568,0.007432
532.7390,0.007639
533.2211,0.007973
533.7032,0.008379
534.1853,0.008760
534.6675,0.009002
535.1495,0.008997
535.6317,0.008683
536.1138,0.008053
536.5959,0.007141
537.0780,0.006055
537.5602,0.004947
538.0422,0.003890
538.5244,0.002931
539.0065,0.002145
539.4886,0.001472
539.9707,0.000940
540.4529,0.000593
540.9349,0.000474
541.4171,0.000612
541.8992,0.001032
542.3813,0.001751
542.8634,0.002698
543.3456,0.003847
543.8276,0.005141
544.3098,0.006469
544.7919,0.007822
545.2740,0.009168
545.7561,0.010461
546.2383,0.011640
546.7203,0.012657
547.2025,0.013472
547.6846,0.014063
548.1667,0.014441
548.6488,0.014492
549.1310,0.014065
549.6130,0.013696
550.0952,0.013837
550.5773,0.014851
551.0594,0.016978
551.5415,0.020400
552.0237,0.025138
552.5057,0.031115
552.9879,0.038120
553.4700,0.045801
553.9521,0.053941
554.4342,0.062953
554.9164,0.072937
555.3984,0.083978
555.8806,0.096092
556.3627,0.109216
556.8448,0.123218
557.3269,0.137804
557.8091,0.152502
558.2911,0.166698
558.7733,0.179376
559.2554,0.189819
559.7375,0.197600
560.2196,0.202734
560.7018,0.205567
561.1838,0.206680
561.6660,0.206827
562.1481,0.206708
562.6302,0.206849
563.1123,0.207477
563.5945,0.208366
564.0765,0.209459
564.5587,0.210645
565.0408,0.211897
565.5229,0.213170
566.0050,0.214439
566.4872,0.215644
566.9692,0.216770
567.4514,0.217828
567.9335,0.218806
568.4156,0.219679
568.8977,0.220431
569.3799,0.221051
569.8619,0.221545
570.3441,0.221931
570.8262,0.222261
571.3083,0.222538
571.7904,0.222798
572.2726,0.223061
572.7546,0.223292
573.2368,0.223455
573.7189,0.223521
574.2010,0.223476
574.6831,0.223321
575.1653,0.223075
575.6473,0.222774
576.1295,0.222426
576.6116,0.222031
577.0938,0.221576
577.5758,0.221040
578.0580,0.220406
578.5400,0.219666
579.0222,0.218820
579.5043,0.217874
